muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
418,2017,18-sep,9,10,7886.913351,7724.103516,1
419,2017,18-sep,10,11,8157.305642,8108.902832,1
420,2017,18-sep,11,12,8323.454372,8294.673828,1
421,2017,18-sep,12,13,8459.805687,8420.347656,1
422,2017,18-sep,13,14,8488.714593,8459.826172,1
423,2017,18-sep,14,15,8434.652375,8455.638672,1
424,2017,18-sep,15,16,8484.345188,8432.160156,1
425,2017,18-sep,16,17,8514.176399,8577.224609,1
426,2017,18-sep,17,18,8375.680944,8357.376953,1
427,2017,18-sep,18,19,8097.626309,8327.65918,1
428,2017,18-sep,19,20,7784.562168,7834.232422,1
429,2017,18-sep,20,21,8285.811091,8065.205078,1
430,2017,18-sep,21,22,8178.955582,8328.511719,1
431,2017,18-sep,22,23,7970.797198,8011.98291,1
432,2017,18-sep,23,24,7601.783178,7855.45166,1
433,2017,19-sep,0,1,7157.638821,7374.063965,1
434,2017,19-sep,1,2,6954.241913,6938.119629,1
435,2017,19-sep,2,3,6826.309879,6972.618164,1
436,2017,19-sep,3,4,6727.922045,6753.21582,1
437,2017,19-sep,4,5,6714.555862,6728.319336,1
438,2017,19-sep,5,6,6810.809396,6720.862305,1
439,2017,19-sep,6,7,7229.234473,6867.602051,1
440,2017,19-sep,7,8,7705.21064,7519.804688,1
441,2017,19-sep,8,9,7957.629877,7702.808105,1
442,2017,19-sep,9,10,8211.972114,8173.223145,1
443,2017,19-sep,10,11,8371.19378,8280.757813,1
444,2017,19-sep,11,12,8571.081166,8508.884766,1
445,2017,19-sep,12,13,8687.842499,8601.489258,1
446,2017,19-sep,13,14,8759.004477,8665.791016,1
447,2017,19-sep,14,15,8721.865109,8642.229492,1
448,2017,19-sep,15,16,8718.69656,8744.662109,1
449,2017,19-sep,16,17,8745.274623,8798.925781,1
450,2017,19-sep,17,18,8618.700442,8714.05957,1
451,2017,19-sep,18,19,8294.466827,8469.554688,1
452,2017,19-sep,19,20,7953.796679,8001.492188,1
453,2017,19-sep,20,21,8458.246744,8234.066406,1
454,2017,19-sep,21,22,8359.365927,8496.460938,1
455,2017,19-sep,22,23,8161.564132,8197.552734,1
456,2017,19-sep,23,24,7792.59243,8085.667969,1
457,2017,20-sep,0,1,7346.885708,7590.485352,1
458,2017,20-sep,1,2,7146.931172,7298.537109,1
459,2017,20-sep,2,3,7006.039185,7167.038086,1
460,2017,20-sep,3,4,6900.790539,7057.35791,1
461,2017,20-sep,4,5,6887.812165,6848.495605,1
462,2017,20-sep,5,6,6966.272061,6905.944336,1
463,2017,20-sep,6,7,7357.053694,7103.538086,1
464,2017,20-sep,7,8,7759.400789,7427.905762,1
465,2017,20-sep,8,9,8049.318231,7690.003906,1
466,2017,20-sep,9,10,8366.417293,8257.941406,1
467,2017,20-sep,10,11,8550.876623,8415.476563,1
468,2017,20-sep,11,12,8635.554015,8600.007813,1
469,2017,20-sep,12,13,8727.214561,8694.670898,1
470,2017,20-sep,13,14,8763.314939,8722.185547,1
471,2017,20-sep,14,15,8731.235496,8708.634766,1
472,2017,20-sep,15,16,8713.165018,8698.078125,1
473,2017,20-sep,16,17,8709.952836,8651.382813,1
474,2017,20-sep,17,18,8556.430023,8667.832031,1
475,2017,20-sep,18,19,8260.71091,8449.421875,1
476,2017,20-sep,19,20,8007.700798,7981.189453,1
477,2017,20-sep,20,21,8564.358392,8318.333984,1
478,2017,20-sep,21,22,8429.305667,8607.884766,1
479,2017,20-sep,22,23,8163.274943,8203.34375,1
480,2017,20-sep,23,24,7850.268841,8092,1
481,2017,21-sep,0,1,7439.378407,7609.210938,1
482,2017,21-sep,1,2,7191.667515,7202.743652,1
483,2017,21-sep,2,3,7002.490398,7009.669922,1
484,2017,21-sep,3,4,6979.942614,6962.28418,1
485,2017,21-sep,4,5,6985.205492,7008.992188,1
486,2017,21-sep,5,6,7026.972033,6807.498535,1
487,2017,21-sep,6,7,7352.394441,7210.626465,1
488,2017,21-sep,7,8,7848.398956,7668.793945,1
489,2017,21-sep,8,9,8143.198443,7929.394531,1
490,2017,21-sep,9,10,8372.493032,8303.623047,1
491,2017,21-sep,10,11,8527.512005,8465.533203,1
